2015-01-06 14:35:15,995 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artiste found : Artiste [idArtiste=1, nom=2Pac, albums=[Album [idAlbum=1, nom=Me Against the World, chansons=[Chanson [idChanson=3, titre=Skandalouz, dureeChanson=4], Chanson [idChanson=1, titre=Ambitionz az a Ridah, dureeChanson=4], Chanson [idChanson=4, titre=No More Pain, dureeChanson=6], Chanson [idChanson=2, titre=All Bout U, dureeChanson=4]]], Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]]]]
2015-01-06 14:35:15,996 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Finding album with id : 2...
2015-01-06 14:35:16,002 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Album found : Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]]
2015-01-06 14:35:16,003 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Finding Chanson with id : 7...
2015-01-06 14:35:16,005 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Chanson found : Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4]
2015-01-06 14:35:16,006 [main] INFO  org.jacademie.projet1.controller.MainControl - Nothing has changed!
2015-01-06 14:35:16,231 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Finding Artiste with id : 1...
2015-01-06 14:35:16,245 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artiste found : Artiste [idArtiste=1, nom=2Pac, albums=[Album [idAlbum=1, nom=Me Against the World, chansons=[Chanson [idChanson=1, titre=Ambitionz az a Ridah, dureeChanson=4], Chanson [idChanson=4, titre=No More Pain, dureeChanson=6], Chanson [idChanson=3, titre=Skandalouz, dureeChanson=4], Chanson [idChanson=2, titre=All Bout U, dureeChanson=4]]], Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]]]]
2015-01-06 14:35:16,254 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Finding album with id : 2...
2015-01-06 14:35:16,263 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Album found : Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]]
2015-01-06 14:35:16,263 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Finding Chanson with id : 7...
2015-01-06 14:35:16,265 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Chanson found : Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4]
2015-01-06 14:35:16,265 [main] INFO  org.jacademie.projet1.controller.MainControl - Nothing has changed!
2015-01-06 14:35:16,459 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Finding Artiste with id : 1...
2015-01-06 14:35:16,467 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Artiste found : Artiste [idArtiste=1, nom=2Pac, albums=[Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]], Album [idAlbum=1, nom=Me Against the World, chansons=[Chanson [idChanson=3, titre=Skandalouz, dureeChanson=4], Chanson [idChanson=1, titre=Ambitionz az a Ridah, dureeChanson=4], Chanson [idChanson=4, titre=No More Pain, dureeChanson=6], Chanson [idChanson=2, titre=All Bout U, dureeChanson=4]]]]]
2015-01-06 14:35:16,468 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Finding album with id : 2...
2015-01-06 14:35:16,475 [main] INFO  org.jacademie.projet1.dao.AlbumDao - Album found : Album [idAlbum=2, nom=Thug Life, chansons=[Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4], Chanson [idChanson=5, titre=Stay True, dureeChanson=3], Chanson [idChanson=6, titre=Bury Me a G, dureeChanson=4]]]
2015-01-06 14:35:16,475 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Finding Chanson with id : 7...
2015-01-06 14:35:16,491 [main] INFO  org.jacademie.projet1.dao.ChansonDao - Chanson found : Chanson [idChanson=7, titre=Under Pressure, dureeChanson=4]
2015-01-06 14:35:16,491 [main] INFO  org.jacademie.projet1.controller.MainControl - Nothing has changed!
2015-01-06 14:35:16,673 [main] INFO  org.jacademie.projet1.dao.ArtisteDao - Finding Artiste with id : 2...
